"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
11513, 1.052687089368824e+00, 3.482435315356846e-01, 5.588000036262943e-03, 1.053561999525878e+00, 9.255782650255345e-01, 2.496688873545068e-02, -1.119805070911671e-01, 3.163724662623679e+00, 1.100362781008731e+00, 1.030493438997184e+00, 7.320861557144207e-01, 1.736937755745847e-01
11514, 1.126695942784274e+00, 4.011333040461685e-01, 4.211357294504006e-02, 1.076740964507104e+00, 9.314848950734641e-01, 2.270626463037100e-02, -3.542438878265414e-02, 3.228138235681892e+00, 1.129761564548800e+00, 1.035249420691257e+00, 7.145052412661203e-01, 2.324913426547237e-01
11515, 1.133655844759859e+00, 4.495329561487839e-01, 4.784782320652426e-03, 1.098253722947639e+00, 8.708055026148319e-01, 4.531892042548646e-02, -2.033337061796000e-02, 3.273935834164215e+00, 1.171032672845883e+00, 1.052048508318448e+00, 6.500199304972214e-01, 3.150335592488896e-01
11516, 1.102484938486455e+00, 3.449624137287811e-01, 5.708574470075842e-02, 1.068462543977106e+00, 9.413629001667462e-01, 1.917074543955253e-02, -4.482025375578963e-02, 3.207654155925326e+00, 1.116740346298460e+00, 1.031246152811280e+00, 7.293211990425663e-01, 2.064489061540425e-01
11517, 1.099648175922781e+00, 3.825261075569697e-01, 4.207369050484074e-02, 1.071046191315084e+00, 9.343226096394701e-01, 2.077032599781778e-02, -6.091365248070532e-02, 3.213310867041116e+00, 1.121540445525101e+00, 1.033180439514019e+00, 7.221860916013441e-01, 2.160491046073250e-01
11518, 1.072730925053906e+00, 2.622516389500535e-01, 7.030972240589489e-02, 1.057330452499766e+00, 9.476472043610462e-01, 1.482298389887898e-02, -5.016350598901854e-02, 3.178375347137602e+00, 1.100964178630693e+00, 1.027381839909862e+00, 7.434491905886048e-01, 1.748965708185093e-01
11519, 1.133722104846849e+00, 3.814641460212637e-01, 4.348258067183516e-03, 1.079152066187405e+00, 9.114364248961350e-01, 3.633597594609646e-02, -2.090214359464170e-04, 3.229900144749684e+00, 1.137758119260232e+00, 1.040247626234143e+00, 6.957303186041806e-01, 2.484844520775869e-01
11520, 1.122894057553083e+00, 3.393860062765828e-01, 1.729288865017096e-02, 1.077285794489832e+00, 9.217851861897689e-01, 2.926889695550205e-02, -1.046189994903072e-02, 3.227164508756283e+00, 1.132940385102044e+00, 1.037637268005402e+00, 7.055754694477369e-01, 2.388489837612111e-01
11521, 1.127414362193049e+00, 3.841633948118068e-01, 6.418698206238149e-03, 1.087109380145868e+00, 9.026701313224992e-01, 3.870867358530703e-02, -6.667508857189268e-03, 3.250037401955539e+00, 1.149826544055035e+00, 1.043586671610341e+00, 6.830036722528389e-01, 2.726213016671935e-01
11522, 1.119218522441823e+00, 3.521752375764813e-01, 1.837276806207413e-02, 1.083960765188765e+00, 9.199059681987943e-01, 3.177195702754976e-02, -1.880405727080593e-02, 3.245362947920670e+00, 1.141757592574511e+00, 1.039273328992601e+00, 6.994153652478361e-01, 2.564833987061453e-01
11523, 1.020975686334211e+00, 2.540555680520717e-01, 6.238057285678199e-03, 1.050315736330381e+00, 9.402468594506911e-01, 2.342753655061193e-02, -1.144416289943776e-01, 3.158492701920697e+00, 1.092456122431494e+00, 1.026250938321023e+00, 7.475531056379391e-01, 1.578804584201108e-01
11524, 1.130780264096460e+00, 4.215127048397426e-01, -4.946969754760874e-03, 1.102347820255111e+00, 9.103555169051553e-01, 5.119929877573706e-02, 1.166465001082648e-02, 3.294570879098529e+00, 1.166967691485482e+00, 1.044502830807122e+00, 6.794845246137576e-01, 3.069035965280876e-01
