"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,     "Avg CFL"    ,       "CD"       ,       "CL"       
         139,    0.005827212471,      -4.341769526,      -3.888263968,      -9.289350043,                         5,     -0.4041005335,             5.324,     0.06902470551,      0.2729756886
         140,     0.00583197456,      -4.323118729,      -3.868054566,      -9.287656883,                         5,     -0.2812924394,                 5,     0.06910362387,       0.273741457
         141,    0.005835083303,      -4.347868922,      -3.892480903,      -9.287150966,                         5,      -0.278491923,                 5,     0.06912388972,      0.2749717481
         142,    0.005840380035,      -4.345543765,       -3.88884311,      -9.286283851,                         5,     -0.2665664419,                 5,     0.06893320954,      0.2742093312
         143,    0.005843460028,      -4.287499438,       -3.83072455,      -9.284737738,                         5,     -0.2755624427,                 5,     0.06931159971,       0.276857402
         144,    0.005846453738,      -4.361989972,      -3.906312185,      -9.283568483,                         5,      -0.339875889,                 5,     0.06881801831,      0.2760685273
         145,       0.005849632,      -4.244139787,      -3.786904303,      -9.282346876,                         5,     -0.4524962819,                 5,     0.06779086814,        0.27165368
         146,    0.005842062088,      -4.186690317,      -3.724071256,      -9.279120265,                         3,     -0.6042275221,               5.5,     0.06792408663,      0.2729171472
         147,    0.005834288912,      -4.318765874,      -3.860768475,      -9.270833222,                         3,     -0.6111635516,              6.05,     0.06835264694,      0.2760123315
         148,    0.005837141859,      -4.422787249,      -3.978900897,      -9.265989781,                         5,      -0.494668755,                 5,     0.06878970196,      0.2781111161
         149,    0.005839259427,      -4.478964372,      -4.039745678,      -9.262412014,                         5,     -0.6633683788,               5.5,     0.06957952115,      0.2825596919
         150,     0.00583719098,      -4.267931289,      -3.810769092,      -9.259005161,                         4,     -0.6349808243,              6.05,     0.06986102734,      0.2849058319
         151,    0.005841517934,      -4.350016505,      -3.892640839,      -9.257938147,                         5,     -0.3352612967,                 5,     0.06962519193,       0.283746799
         152,    0.005843692222,      -4.267473927,      -3.810235777,      -9.253337072,                         5,     -0.6059587604,               5.5,     0.07030425752,      0.2868942325
         153,    0.005846402019,      -4.221507307,      -3.766290364,      -9.251655859,                         5,     -0.4014315036,                 5,     0.07046383735,      0.2877169385
         154,    0.005850300148,      -4.182898151,      -3.729938001,      -9.248941654,                         5,     -0.4779241639,                 5,     0.06987821595,      0.2841834409
         155,    0.005853462699,      -4.306172772,      -3.852340204,      -9.244708076,                         5,     -0.4332234154,                 5,     0.06893134389,      0.2798211391
         156,    0.005854951459,       -4.16721038,      -3.708646199,      -9.239980418,                         5,     -0.6600082916,               5.5,     0.06926853103,      0.2790423154
         157,    0.005857748019,      -4.054643674,      -3.599925468,      -9.234780228,                         5,     -0.4507456633,                 5,     0.07023951016,      0.2842646867
         158,    0.005860288352,       -4.21091451,      -3.755368493,      -9.227144676,                         5,     -0.6635164008,               5.5,      0.0702477905,      0.2845152946
