"Mach","Points:0","Points:1","Points:2"
8.979331970215e+00,-4.165288060904e-03,1.681395992637e-02,0.000000000000e+00
8.979325294495e+00,-3.950891084969e-03,1.690452545881e-02,0.000000000000e+00
8.979322433472e+00,-3.701433306560e-03,1.721853949130e-02,0.000000000000e+00
8.979320526123e+00,-3.739365609363e-03,1.706886291504e-02,0.000000000000e+00
8.979318618774e+00,-3.688975470141e-03,1.707631722093e-02,0.000000000000e+00
8.979286193848e+00,-7.844530045986e-04,2.089675702155e-02,0.000000000000e+00
8.979293823242e+00,-1.313608139753e-03,2.055751718581e-02,0.000000000000e+00
8.979271888733e+00,0.000000000000e+00,2.101720310748e-02,0.000000000000e+00
8.979263305664e+00,0.000000000000e+00,2.081432752311e-02,0.000000000000e+00
8.979554176331e+00,-1.205910649151e-02,0.000000000000e+00,0.000000000000e+00
8.979556083679e+00,-1.204096246511e-02,8.820646326058e-04,0.000000000000e+00
8.979555130005e+00,-1.204447913915e-02,7.347977953032e-04,0.000000000000e+00
8.979554176331e+00,-1.205610483885e-02,1.723976456560e-04,0.000000000000e+00
8.979555130005e+00,-1.204736158252e-02,5.600602598861e-04,0.000000000000e+00
8.979555130005e+00,-1.205171272159e-02,3.689303703140e-04,0.000000000000e+00
8.979556083679e+00,-1.201310940087e-02,1.424930524081e-03,0.000000000000e+00
8.979556083679e+00,-1.202341169119e-02,1.245886785910e-03,0.000000000000e+00
8.979556083679e+00,-1.203201431781e-02,1.068780198693e-03,0.000000000000e+00
8.979553222656e+00,-1.202577352524e-02,1.049279933795e-03,0.000000000000e+00
8.979565620422e+00,-1.220528315753e-02,9.390505147167e-04,0.000000000000e+00
8.979563713074e+00,-1.213822327554e-02,1.344711985439e-03,0.000000000000e+00
8.979561805725e+00,-1.208760123700e-02,1.574436319061e-03,0.000000000000e+00
8.979570388794e+00,-1.229683589190e-02,1.136330189183e-03,0.000000000000e+00
8.979566574097e+00,-1.222440507263e-02,1.291959546506e-03,0.000000000000e+00
8.979566574097e+00,-1.207595318556e-02,3.704014001414e-03,0.000000000000e+00
8.979572296143e+00,-1.223032828420e-02,2.634522737935e-03,0.000000000000e+00
8.979570388794e+00,-1.221184339374e-02,2.155669732019e-03,0.000000000000e+00
8.979559898376e+00,-1.202530413866e-02,2.062484622002e-03,0.000000000000e+00
8.979406356812e+00,-7.714042905718e-03,1.265501417220e-02,0.000000000000e+00
8.979410171509e+00,-7.692470215261e-03,1.284165494144e-02,0.000000000000e+00
8.979444503784e+00,-8.983195759356e-03,1.128296088427e-02,0.000000000000e+00
8.979426383972e+00,-8.597557432950e-03,1.163668464869e-02,0.000000000000e+00
8.979469299316e+00,-9.965111501515e-03,9.666228666902e-03,0.000000000000e+00
8.979496002197e+00,-1.073826197535e-02,8.368558250368e-03,0.000000000000e+00
8.979521751404e+00,-1.140213664621e-02,6.754724774510e-03,0.000000000000e+00
8.979544639587e+00,-1.178211998194e-02,4.773487802595e-03,0.000000000000e+00
8.979522705078e+00,-1.136109977961e-02,6.505339406431e-03,0.000000000000e+00
8.979525566101e+00,-1.140320859849e-02,6.053980439901e-03,0.000000000000e+00
8.979415893555e+00,-8.271094411612e-03,1.176645699888e-02,0.000000000000e+00
8.979557991028e+00,-1.200758945197e-02,1.885190955363e-03,0.000000000000e+00
8.979557991028e+00,-1.199294347316e-02,2.109480556101e-03,0.000000000000e+00
