"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
1508, 1.013092929556478e-01, 0.000000000000000e+00, -3.642445494960782e-01, 1.029938773649629e+00, 9.832256531993984e-01, -5.217838987842914e-03, 2.478466743162666e-02, 3.111662666541558e+00, 1.056814251511400e+00, 1.012410614315751e+00, 7.967612341230064e-01, 8.659671657992309e-02
1509, -7.607172001530671e-02, 0.000000000000000e+00, -4.110838845991793e-02, 1.105573110942452e+00, 9.990724290023141e-01, -5.427214554780087e-03, 8.289270338351182e-02, 3.326004832293490e+00, 1.148587385624747e+00, 1.025052269306350e+00, 7.518882146931937e-01, 2.701429848066175e-01
1510, 1.052682696476172e+00, 4.147692805369017e-01, 7.896840596672021e-03, 9.984985221140279e-01, 8.673304693168902e-01, 6.132052740000821e-02, -7.833099328252474e-02, 2.995635299689575e+00, 1.045593284087900e+00, 1.033200946381711e+00, 7.221100837577348e-01, 6.415478173292401e-02
1511, 8.267855469689911e-01, 1.234534226536591e+00, -2.708394143013906e-02, 9.142062448920822e-01, 8.727884135819115e-01, 1.965639046545715e-02, -5.209864078525711e-02, 2.762428318508378e+00, 9.376436021303916e-01, 1.011959303928021e+00, 7.983366008625493e-01, -1.517445821820936e-01
1512, 1.272859831186107e+00, 1.001096342373611e+00, 1.037335807652560e-03, 1.034727019382957e+00, 8.125751233266696e-01, -1.795598513643535e-02, -8.753304351185620e-02, 3.083588055715480e+00, 1.104268249811359e+00, 1.052975417202784e+00, 6.463376156528889e-01, 1.815047131798409e-01
1513, 1.300206406203922e+00, 1.097852744468831e+00, 1.016962032438476e-03, 1.146883296569262e+00, 9.393126115422311e-01, -1.018548775607948e-01, -8.379283229387839e-02, 3.427630367858850e+00, 1.214156700201313e+00, 1.044539697269823e+00, 6.793424986647069e-01, 4.012816139597502e-01
1514, 1.362359466192973e+00, 1.459080066391951e+00, -5.871556080880158e-03, 1.001505882699856e+00, 9.017864266024195e-01, 1.430988154943913e-01, 1.011707430575707e-01, 3.015666190772628e+00, 1.037733956624591e+00, 1.022355552246701e+00, 7.615875350365340e-01, 4.843612680630516e-02
1515, 8.570792313269302e-01, 1.462658061382828e+00, -1.330912978135701e-02, 9.290711673665106e-01, 8.048813623954880e-01, 1.987747217385690e-01, -2.422346564031214e-01, 2.800593003093051e+00, 9.596417479499910e-01, 1.019130002879984e+00, 7.730953134249585e-01, -1.077482905428946e-01
1516, 1.143374128760577e+00, 6.020710381005669e-01, 3.189219995103870e-03, 1.009222545155489e+00, 8.443573070410552e-01, 5.261843697502458e-02, -5.557462443996212e-02, 3.019341129580061e+00, 1.065290862562273e+00, 1.041479425441299e+00, 6.910530473788103e-01, 1.035499386816685e-01
1517, 1.346083159308368e+00, 1.479236023396932e+00, -7.833600613474106e-03, 9.787467313415010e-01, 9.374632948184074e-01, 1.926484736132971e-01, 1.523096783942044e-01, 2.966568167471772e+00, 9.947187636800666e-01, 1.002765588860752e+00, 8.300761550533254e-01, -3.759425908274339e-02
1518, 1.596579120898127e+00, 0.000000000000000e+00, 5.882002887827298e-02, 9.964276151910542e-01, 9.903308094171098e-01, 2.351360525808984e-04, 2.484834217628967e-02, 3.021303736838162e+00, 1.011543291297887e+00, 1.001631918655651e+00, 8.339458144561126e-01, -3.945203847102619e-03
1519, 1.272239205602239e+00, 1.236457140976313e+00, -9.164754157339602e-03, 9.781207891024321e-01, 8.921656107816958e-01, 6.105549148992967e-02, 1.102913990245158e-01, 2.946254210856888e+00, 1.012499396722157e+00, 1.021343243362596e+00, 7.652099953383803e-01, -2.032992998561856e-03
1520, 1.336796465814113e+00, 1.481074524077152e+00, 8.133568858887798e-03, 9.047970167256252e-01, 8.106745710780788e-01, -2.754729844151860e-01, 1.388092422750376e-03, 2.731452082074536e+00, 9.305377361828426e-01, 1.014734126714891e+00, 7.886226684084768e-01, -1.659563140771914e-01
1521, 2.847195553682781e+00, 0.000000000000000e+00, 6.043060999427894e-01, 1.006079589186898e+00, 1.007287637738916e+00, 2.352475187631458e-03, 1.237656392888005e-02, 3.052601847489419e+00, 1.019309760746625e+00, 9.996392068231237e-01, 8.407254418033692e-01, 1.158773505037347e-02
1522, 1.175859410542555e+00, 1.216007935723568e+00, 1.838554813316617e-02, 9.160462726939955e-01, 8.292526351756649e-01, -2.733514481103858e-02, -7.028265354607774e-02, 2.756355142176696e+00, 9.511639409075963e-01, 1.024489241945238e+00, 7.539192690996015e-01, -1.247039046276841e-01
1523, 5.549035158960010e-01, 0.000000000000000e+00, -2.041480343027644e+00, 1.004413838912710e+00, 9.981956966266103e-01, 8.803650500442844e-04, 4.813584534854520e-02, 3.045738896071353e+00, 1.019430818672457e+00, 1.001415957355045e+00, 8.346819040471377e-01, 1.182985090203825e-02
1524, 9.598418449640754e-01, 6.137349921588991e-02, -7.104836426295119e-03, 1.039621502982871e+00, 9.721823026796842e-01, 1.198677255760548e-02, 1.254244859350000e-01, 3.137531041850624e+00, 1.070134860576848e+00, 1.015623391391889e+00, 7.854957223069677e-01, 1.132379347108188e-01
1525, 1.341470334556890e+00, 1.285136526378440e+00, -2.421675284242802e-03, 1.004116854279098e+00, 7.695602447275570e-01, 1.023612000877227e-01, 9.744474505527498e-02, 2.989932052865267e+00, 1.074035566278107e+00, 1.055367808400634e+00, 6.367659902333740e-01, 1.210393461133368e-01
1526, 1.109244439849413e+00, 6.202097693643831e-01, 8.032498174026568e-03, 1.018261089456005e+00, 9.531158242370898e-01, 1.124717358471272e-02, -9.431720863329277e-02, 3.072438239355755e+00, 1.048775537808056e+00, 1.016231932087389e+00, 7.833517381609859e-01, 7.051928917323515e-02
1527, 1.342113500528304e+00, 1.420042269897754e+00, 6.990917979621609e-03, 9.867129722085624e-01, 8.917301945242520e-01, -1.225516400667183e-01, -1.162888132993607e-01, 2.971780083235424e+00, 1.021748639559894e+00, 1.021698290900405e+00, 7.639405836140635e-01, 1.646549267691100e-02
1528, 1.389305075506469e+00, 1.478878636228693e+00, -1.527256554469521e-03, 9.218297274836758e-01, 8.710925466140348e-01, 1.706162098430979e-01, 3.125953023949545e-01, 2.802194359547881e+00, 9.287320768911296e-01, 9.940521591458046e-01, 8.595894152877297e-01, -1.695676326606175e-01
1529, 1.370850694504347e+00, 1.480009797697214e+00, -3.876582249640133e-03, 9.055820556152850e-01, 8.810949575842587e-01, 1.391347097834482e-01, 3.612081709089546e-01, 2.764079581285907e+00, 9.010875554418541e-01, 9.817674297654444e-01, 9.003910198256725e-01, -2.248566755591684e-01
1530, 9.775510436265404e-01, 1.580449185893779e-01, -8.270976229581081e-03, 1.025754949056359e+00, 9.613054073508561e-01, 2.399194081837103e-02, 1.227920522999472e-01, 3.096269194397989e+00, 1.055274520873373e+00, 1.015058957470242e+00, 7.874813735572715e-01, 8.351725530386968e-02
1531, 9.772933249494875e-01, 3.912640699346605e-02, 4.170878968114055e-03, 1.035631263432915e+00, 9.145294850764194e-01, 6.905493721886613e-03, -1.157264552776058e-01, 3.111163943193678e+00, 1.080352247103975e+00, 1.029270827655863e+00, 7.365635505818948e-01, 1.336727077650739e-01
1532, 1.244913902598626e+00, 1.416456194076519e+00, -1.691802132649530e-02, 9.664822219014834e-01, 9.635362707395274e-01, 7.550635122084269e-02, 8.483932066165473e-02, 2.933169879119361e+00, 9.784788405591385e-01, 9.989114826236768e-01, 8.431941851901648e-01, -7.007410532459969e-02
1533, 8.749066591607004e-01, 0.000000000000000e+00, -3.854294561037648e-01, 1.001775351846750e+00, 1.048835871863911e+00, 2.628890122996920e-03, 6.108300335363305e-02, 3.053470474050930e+00, 1.001020473757591e+00, 9.859208586595547e-01, 8.866934275348465e-01, -2.499083892769472e-02
1534, 8.680402754927456e-01, 0.000000000000000e+00, -2.109751429683513e+00, 1.003999665758063e+00, 1.001198714352320e+00, 1.820009426552267e-03, 5.118473527008684e-02, 3.045497917908214e+00, 1.017995503864078e+00, 1.000418532375300e+00, 8.380772743946924e-01, 8.959221285278931e-03
1535, 1.153765703904215e+00, 1.147635481411299e+00, -1.875273205312036e-02, 9.579486632591446e-01, 9.039341945584211e-01, -8.423773351602187e-03, 7.574948910562304e-02, 2.892083369971311e+00, 9.850274872549183e-01, 1.014554894975192e+00, 7.892521921226848e-01, -5.697681193304006e-02
1536, 1.245091883051211e+00, 9.019949393451365e-01, 1.028318706210170e-03, 1.078757537789730e+00, 9.048807569952284e-01, -4.971357656095200e-02, -8.768710232857277e-02, 3.228393607899233e+00, 1.137667735704577e+00, 1.040545403061391e+00, 6.946014018385588e-01, 2.483036849662783e-01
1537, 1.091879898801494e+00, 0.000000000000000e+00, -1.444585232830491e-01, 1.032393317970120e+00, 9.714635099810680e-01, -2.712927852929713e-03, 3.595074325165406e-02, 3.115349260916495e+00, 1.063061966319872e+00, 1.015974557130053e+00, 7.842589130097875e-01, 9.909214619686769e-02
1538, -1.825672437033148e+00, 0.000000000000000e+00, -1.262816740654102e-01, 1.001582889258897e+00, 1.000064160515405e+00, -3.460554359178388e-04, 5.385687398002532e-02, 3.038571994669352e+00, 1.015140031249768e+00, 1.000019558873605e+00, 8.394335122487114e-01, 3.248276056660338e-03
1539, 9.766664435494171e-01, 7.058755969765367e-02, -5.342484016164874e-03, 1.043564813525454e+00, 1.019159787585665e+00, 1.204849041637649e-02, 1.337258171513286e-01, 3.161532727653948e+00, 1.062092956379022e+00, 1.004182244229842e+00, 8.252277502919112e-01, 9.715412631516741e-02
1540, 1.005221879828355e+00, 0.000000000000000e+00, -2.238303048559942e-02, 1.091316584516686e+00, 9.368082093406186e-01, 5.545937400886750e-03, 6.294805796714734e-02, 3.270327526361755e+00, 1.146564174849283e+00, 1.036613950856399e+00, 7.094109866199758e-01, 2.660965632556885e-01
1541, 9.507304800790446e-01, 2.093957515713003e-02, 6.826688291095184e-03, 1.010272214964526e+00, 9.426119746694798e-01, 1.380295578866550e-03, -1.144710880830962e-01, 3.048122462450222e+00, 1.040757909672278e+00, 1.016437660309419e+00, 7.826261901077549e-01, 5.448403290167914e-02
1542, 1.004958704862702e+00, 0.000000000000000e+00, -7.735336814477023e-03, 1.122757540608885e+00, 9.457515287026436e-01, 4.885739662022207e-03, 3.528098466108200e-02, 3.359785035929917e+00, 1.184357825261301e+00, 1.040797858454042e+00, 6.936435382190871e-01, 3.416838640797245e-01
1543, 1.392859653243526e+00, 1.478722477466646e+00, 7.106909644252815e-04, 9.820526910214974e-01, 8.828241209592010e-01, -5.154727350663229e-02, 3.085323296340742e-01, 2.966656453341154e+00, 1.008010711349665e+00, 1.012744267593564e+00, 7.955952728129574e-01, -1.101036374354703e-02
1544, -8.714425840931597e-01, 0.000000000000000e+00, 1.233214176520249e+00, 1.008101755599498e+00, 1.006324899153033e+00, 1.105413154511228e-03, 5.712520279760773e-02, 3.058324130555595e+00, 1.021771762307821e+00, 1.000043662364496e+00, 8.393516291612324e-01, 1.651173817276464e-02
1545, -4.462954549356368e-02, 0.000000000000000e+00, -2.421436170024549e-02, 1.186198881549356e+00, 9.771296960493259e-01, 2.654826890209361e-02, 1.074557280405973e-01, 3.545683485033134e+00, 1.255225864292304e+00, 1.044080070179718e+00, 6.811098426621177e-01, 4.834199421417310e-01
1546, 1.251262839052812e+00, 1.445542927795161e+00, 1.703450613087381e-02, 9.636917883559538e-01, 9.341069817325144e-01, -1.682491106548287e-01, -7.653304105920883e-02, 2.920379642194612e+00, 9.799753187176110e-01, 1.003336048455996e+00, 8.281254902684632e-01, -6.708114900765462e-02
1547, 1.588943183278388e+00, 0.000000000000000e+00, 2.793854828343285e-01, 1.030708528557379e+00, 1.025432227119359e+00, 6.160030125384347e-03, -3.831485762095192e-02, 3.125657984841542e+00, 1.045934385641128e+00, 1.001239576619845e+00, 8.352828506646390e-01, 6.483698483937995e-02
1548, 9.805614222160918e-01, 1.378765634078905e+00, 2.840013136785664e-02, 8.173224922783898e-01, 8.681558312592607e-01, -6.769996015849003e-02, 1.159951329228337e-02, 2.495384535909582e+00, 8.125692041693018e-01, 9.809262234137094e-01, 9.031539473994036e-01, -4.018933781042731e-01
1549, 8.811450014271297e-01, 1.491298927772612e+00, 0.000000000000000e+00, 7.435266280051356e-01, 8.856665792937297e-01, 1.739749048460997e-01, 2.123949841659840e-01, 2.314679472445715e+00, 6.945998602782433e-01, 9.217382321467983e-01, 1.090473458668503e+00, -6.378320658863902e-01
1550, -1.438540454039838e+00, 0.000000000000000e+00, -7.269169000243210e-01, 1.004831250503081e+00, 1.003374236051251e+00, -8.011843491200235e-04, 5.431217120989406e-02, 3.048450158875604e+00, 1.018408943095179e+00, 9.999965639704309e-01, 8.395116147434198e-01, 9.786099747482348e-03
1551, 1.403341058858205e+00, 1.447240196616097e+00, 4.004148423008330e-04, 1.137205174272714e+00, 9.573345553653410e-01, -1.512586869694671e-01, -1.272035138633541e-01, 3.407620630718683e+00, 1.194996013898639e+00, 1.036804960072351e+00, 7.086958779631880e-01, 3.629602413544016e-01
1552, 1.129684216514022e-01, 0.000000000000000e+00, 2.424197816872038e-01, 1.027302298259770e+00, 9.789455444390095e-01, 2.983262293395685e-02, 1.272941624053387e-01, 3.105505166799583e+00, 1.052301164170907e+00, 1.010674312624177e+00, 8.028131421208671e-01, 7.757054189893654e-02
1553, 8.400157017502107e-01, 1.453752520508721e+00, -3.535735181584954e-03, 9.857120484350835e-01, 4.431914514312950e-01, 4.617056381295837e-01, -1.774985684904428e-01, 2.913554098785938e+00, 1.075923595654839e+00, 1.076963051067299e+00, 5.450508734181204e-01, 1.248154048668013e-01
1554, 1.219161186101179e+00, 1.174870261420469e+00, -1.310993847749776e-02, 9.615774450964675e-01, 8.675303282118210e-01, 9.492224340317143e-03, 9.447445365744613e-02, 2.893006501840642e+00, 9.987911490184591e-01, 1.024848934277141e+00, 7.526220340696584e-01, -2.944948840595841e-02
1555, 1.290962931088317e+00, 1.487890547987169e+00, 8.333093574955630e-03, 9.201070057235584e-01, 8.305600741347275e-01, -1.642014244110903e-01, 2.214469134397329e-01, 2.778871159520816e+00, 9.450828516059580e-01, 1.013446861805656e+00, 7.931371802341401e-01, -1.368660832309608e-01
1556, 1.357469549091701e+00, 1.482249108364077e+00, -3.720401568079963e-03, 8.891410984867361e-01, 8.394465713323290e-01, 1.208097880333902e-01, 4.143518317371483e-01, 2.713595081098710e+00, 8.850304721576445e-01, 9.821028597461039e-01, 8.992882579889020e-01, -2.569708421275876e-01
1557, 7.213524223659533e-01, 0.000000000000000e+00, -6.246847474436663e-01, 9.943522034866725e-01, 1.017853426441660e+00, 4.303145629941886e-03, 2.395700506351808e-02, 3.023534548829384e+00, 1.000912636703762e+00, 9.931740610995089e-01, 8.625358595014503e-01, -2.520651303535227e-02
1558, 1.374123385823273e+00, 1.477439051337569e+00, -4.864406951901212e-03, 9.644083868306605e-01, 9.469894607977918e-01, 2.530112388820692e-01, 1.021222277638928e-01, 2.931907507589715e+00, 9.713477751036693e-01, 9.937638807727328e-01, 8.605572356196862e-01, -8.433623623553800e-02
1559, 1.313941089808707e+00, 1.480384081883791e+00, -1.115827301615123e-02, 9.314345807234659e-01, 8.990481169679134e-01, 1.119447852174600e-01, 1.381019367238327e-01, 2.821531277662718e+00, 9.482689176727428e-01, 1.004496885389483e+00, 8.241487153527520e-01, -1.304939510973911e-01
1560, 8.295273329749068e-01, 1.429295951441684e+00, -8.592991159630648e-03, 1.087037208978607e+00, 5.447705404109781e-01, 4.465877650473694e-01, -2.723387891245626e-01, 3.217510308411048e+00, 1.182061259414537e+00, 1.072914242996607e+00, 5.630895250047494e-01, 3.370907323861970e-01
1561, 1.676594701078955e+00, 0.000000000000000e+00, 2.217153557655223e+00, 9.963906831849314e-01, 1.001416858917323e+00, 1.005466106336606e-03, 3.822513330576741e-02, 3.024489177146070e+00, 1.008208499470601e+00, 9.983668058947587e-01, 8.450399725260954e-01, -1.061478750167400e-02
1562, -2.153907472731476e-02, 0.000000000000000e+00, 8.508678440392714e-03, 1.165955769513052e+00, 9.149114219874686e-01, -2.909115860043597e-02, 4.114917600257115e-02, 3.473570641250927e+00, 1.245408649199454e+00, 1.053899596774543e+00, 6.426519901142155e-01, 4.637855119560311e-01
